Date,Open,High,Low,Close
2024-08-14,1.2825,1.2871,1.28,1.2829
2024-08-15,1.286,1.2915,1.2858,1.2859
2024-08-18,1.2948,1.2997,1.2942,1.2947
2024-08-19,1.299,1.3044,1.2976,1.299
2024-08-20,1.3035,1.3079,1.3012,1.3035
2024-08-21,1.3093,1.3129,1.3082,1.3093
2024-08-22,1.3098,1.323,1.3093,1.3098
2024-08-25,1.3215,1.3222,1.3183,1.3213
2024-08-26,1.3192,1.3246,1.3181,1.3192
2024-08-27,1.3256,1.3263,1.3193,1.3258
2024-08-28,1.3195,1.3227,1.3147,1.3194
2024-08-29,1.3165,1.3201,1.3126,1.3166
2024-09-01,1.3131,1.3154,1.3121,1.3129
2024-09-02,1.3141,1.3148,1.309,1.3142
2024-09-03,1.3114,1.3175,1.3102,1.3114
2024-09-04,1.3145,1.3188,1.3139,1.3145
2024-09-05,1.3177,1.3234,1.313,1.3177
2024-09-08,1.3132,1.3144,1.3072,1.3133
2024-09-09,1.307,1.3108,1.305,1.3071
2024-09-10,1.3082,1.3112,1.3003,1.308
2024-09-11,1.3039,1.3084,1.3033,1.304
2024-09-12,1.3133,1.3157,1.3116,1.3132
2024-09-15,1.3136,1.3214,1.3136,1.3138
2024-09-16,1.3211,1.323,1.316,1.3211
2024-09-17,1.3168,1.3253,1.3156,1.3167
2024-09-18,1.3203,1.3312,1.3155,1.3201
2024-09-19,1.3283,1.3341,1.3271,1.3282
2024-09-22,1.3313,1.336,1.3251,1.3314
2024-09-23,1.335,1.3399,1.3333,1.335
2024-09-24,1.3427,1.343,1.3337,1.3427
2024-09-25,1.3315,1.3433,1.3314,1.3316
2024-09-26,1.3412,1.3428,1.3362,1.3414
2024-09-29,1.3383,1.3425,1.3363,1.3383
2024-09-30,1.3378,1.339,1.3265,1.3376
2024-10-01,1.3275,1.3305,1.3249,1.3274
2024-10-02,1.3263,1.3265,1.3094,1.3266
2024-10-03,1.313,1.3175,1.3073,1.313
2024-10-07,1.3086,1.3114,1.3065,1.3085
2024-10-08,1.3084,1.3105,1.3058,1.3093
